transaction_id,account_id,masked_pan,bin,amount,event_time,merchant_id,merchant_name,mcc,terminal_id,acquirer_country,entry_method,card_present,channel,cvv_result,avs_result,status,auth_id,promo_financing,promo_type,gift_card_amount,three_ds,device_fingerprint,ip_address
b3d8c0a2-541e-4c2a-9144-bac427ef3542,ACC-000467,603572xxxxxx5036,603572,159.62,2026-09-08T07:02:39,MER-416946ed,Old Navy,5311,,US,cnp,False,e_commerce,match,Y,approved,613606,False,,0.0,attempted,dev_ff675ef4d5c1,86.232.124.110
7d1a5114-2f84-44a5-b14e-ec9501d5f78f,ACC-000075,603572xxxxxx8639,603572,73.36,2026-09-08T07:03:55,MER-e65fbaf7,Walmart Supercenter,5411,,US,token,False,mobile,match,Y,approved,762169,False,,0.0,,dev_e321ece0d149,36.216.67.24
b8a68ad0-bf11-4cc8-8c51-fd50ad6eb065,ACC-000620,414720xxxxxx1319,414720,133.86,2026-09-08T07:04:32,MER-38c5c225,Mattress Firm,5712,TERM-8a457b,US,chip,True,in_store,not_provided,,approved,165007,False,,0.0,,,
85cc15d7-a2f6-4c17-af20-f6420f5ec0df,ACC-000287,601160xxxxxx9832,601160,65.54,2026-09-08T07:05:22,MER-8485e3e0,Paws & Claws Vet,0742,TERM-bd17a4,US,chip,True,in_store,not_provided,,approved,937757,False,,0.0,,,
293eed4d-6af8-46b1-85f7-b228ef116a40,ACC-000622,546616xxxxxx1243,546616,112.8,2026-09-08T07:05:40,MER-38c5c225,Mattress Firm,5712,TERM-2dd4cb,US,chip,True,in_store,not_provided,,approved,252379,False,,0.0,,,
28564a2a-427d-4013-b117-d6fea5ffac18,ACC-000287,601160xxxxxx9832,601160,51.05,2026-09-08T07:06:21,MER-8485e3e0,Paws & Claws Vet,0742,,US,token,False,mobile,match,Y,approved,909262,False,,0.0,,dev_cf8a34aab94c,159.242.0.39
e26f347d-d4e6-4b69-8bc0-aa5439cf8214,ACC-000845,603571xxxxxx9150,603571,209.36,2026-09-08T07:07:01,MER-36bc0dc8,MicroCenter Tech,5732,TERM-964c16,US,chip,True,in_store,not_provided,,approved,695128,False,,0.0,,,
2ff17156-898b-4b53-8446-c1f6b6f4b353,ACC-000848,546616xxxxxx6581,546616,84.3,2026-09-08T07:10:39,MER-c3234ff5,Best Buy,5732,TERM-0671e3,US,chip,True,in_store,not_provided,,approved,752125,False,,0.0,,,
c6b12334-a4f1-45bd-bb29-5e5f022b1a77,ACC-000047,521000xxxxxx6783,521000,134.86,2026-09-08T07:10:54,MER-f9776547,Lowe's Home Center,5211,,US,token,False,mobile,match,Y,approved,212873,False,,0.0,,dev_66666bbe2178,161.131.168.194
a06ead35-03ae-493b-81f4-62100ef59235,ACC-000645,603571xxxxxx9431,603571,61.1,2026-09-08T07:13:19,MER-38c5c225,Mattress Firm,5712,TERM-480fc1,US,chip,True,in_store,not_provided,,approved,138072,False,,0.0,,,
b22069d1-5984-4d61-81fd-7ed468d77e69,ACC-000711,603572xxxxxx5260,603572,24.93,2026-09-08T07:13:51,MER-821ef4dd,Discount Tire,5533,,US,token,False,mobile,match,Y,approved,864110,False,,0.0,,dev_ce30885dfcaf,31.220.148.33
1dd87787-e767-40c9-a1d5-b5ceead6363e,ACC-000802,603571xxxxxx3651,603571,21.17,2026-09-08T07:18:17,MER-821ef4dd,Discount Tire,5533,TERM-caa2e6,US,chip,True,in_store,not_provided,,approved,585960,False,,0.0,,,
29c69e25-1f8b-4690-ab92-6b75eaf5c598,ACC-000204,414720xxxxxx2668,414720,98.66,2026-09-08T07:18:52,MER-c3234ff5,Best Buy,5732,TERM-fd0cc4,US,chip,True,in_store,not_provided,,approved,159924,False,,0.0,,,
34347113-031a-47cb-a1d7-7567f57c13fb,ACC-000256,603571xxxxxx5455,603571,61.47,2026-09-08T07:19:04,MER-89996843,PayPal Digital Goods,5815,,US,cnp,False,e_commerce,match,Y,approved,783431,False,,0.0,authenticated,dev_0b989467b90d,124.22.156.92
b1cc212b-8bee-4f0f-a2a4-4f66ed6eb9af,ACC-000131,414720xxxxxx5278,414720,204.86,2026-09-08T07:22:00,MER-1bb87a12,AppStore Media,5816,,US,cnp,False,e_commerce,match,Y,approved,607625,False,,0.0,not_enrolled,dev_5d5bb18d17ce,90.95.255.133
e8697d98-79c8-4701-ba45-b7e44fdb0e5a,ACC-000089,414720xxxxxx5129,414720,57.08,2026-09-08T07:22:20,MER-6386998e,TJX Rewards Store,5651,,US,cnp,False,e_commerce,match,Y,approved,254375,False,,0.0,authenticated,dev_51f6d5819b05,185.61.199.65
5a763336-0ff0-44e0-91f8-8a49960dd77e,ACC-000215,603572xxxxxx7824,603572,65.19,2026-09-08T07:22:43,MER-239b0779,Dick's Sporting Goods,5941,TERM-fa6996,US,chip,True,in_store,not_provided,,approved,155282,False,,0.0,,,
f8cf10be-3ce7-4511-bf3b-a62333f7aa65,ACC-000015,601160xxxxxx3568,601160,99.54,2026-09-08T07:22:47,MER-821ef4dd,Discount Tire,5533,TERM-5ffe1c,US,chip,True,in_store,not_provided,,approved,150455,False,,0.0,,,
